review_date,product_id,product_name,product_category,user_id,price,review_text,discount_rate,rating
2020-01-02,B00363PRK6,"Coleman Biscayne Big & Tall Warm-Weather Sleeping Bag, 40°F Camping Sleeping Bag for Adults, No-Snag 2-Way Zipper for Ventilation with Stuff Sack Included, Fits Adults up to 6ft 4in Tall",Sports & Outdoors | Sleeping Bags,AG6A5Z2363WJMTKEQNGIXCV7U6JA,36.84,Good for up till autumn. This sleeping bag is a bit on the heavy side but I got it because it can fit a tall person easily. It's more pricey too because of that same reason. Good for up till autumn.  Not good for winter. I keep it in the trunk of my car for emergency,0.0,4
2020-01-02,B004ZQ5UOG,TRI-BAND RINGS 25'S,Health & Personal Care,AGOOPPZJBET4IMWQ5ZXATLISIGQQ,13.59,"Didnt hold up. I broke 3 in a row, tossed them away",0.0,2
2020-01-02,B00FG9LKEU,Respironics SimplyGo Mobile Cart,Health & Personal Care,AHDXVDGX226TUM2CH2PQPF6X4JIA,70.0,"Convenientence. Seems sturdy. Pleased with quality so far, waiting for accessaries.",0.0,4
2020-01-02,B0189CURIA,Azdent Tooth Polisher + 14 Cups Qartz Bubble Gum Coarse Grit Professional Tooth Polish,Health & Personal Care,AFI3TFD3SK7DD44AOHQ3M627QFTA,17.84,"big dissapointment. When trying to use this, every time you put pressure on the tip...it goes off.  When it is on, the grit polish goes everywhere in my face.  Simply cannot use it.",0.0,1
2020-01-02,B01D63Y7CE,"Freegrace Waterproof Dry Bags Set of 3 - Dry Bag with 2 Zip Lock Seals & Detachable Shoulder Strap, Waist Pouch & Phone Case - Can Be Submerged Into Water for Swimming, Kayak, Rafting & Boating",Sports & Outdoors | Dry Bags,AFB3J4SVQCYVMJD2CFAANRZUIRCQ,15.49,Great for canoeing. Hard to snap for the kids but durable and kept the water out.,0.6699999999999999,10
2020-01-02,B01MDNJANW,"GMS Optical Soft Silicone Air Bag Nose Pads for Eyeglasses (14mm Push-in, 3 Pair)…",Health & Personal Care,AGPXJCN7D2E52QT3RAEKDTFJFBZQ,6.99,Would have liked to tried them!. Them stem itself is so soft I couldn't get it in the glasses at at - very disappointing. Especially ince I bought a different set 2 weeks ago from the same manufacturer  (not same exact style) and they were great except I needed a bigger size - which I couldn't reorder in the bigger size - these air bag silicone push in pads are going back!,0.12,4
2020-01-02,B01MSFD50H,Rapid Remover Vinyl Letter Remover 32 oz. Bottle with Sprayer Adhesive Remover for Vinyl Wraps Graphics Decals Stripes,Health & Personal Care,AGPCVLOZQWV6O3G5HDDD5WIMD6CA,32.99,Great for removing the 3M film of the front of the RV. I’ve tried almost everything to remove the clear film of the front from the RV. It’s just a nightmare but this product works best by far. I was able to follow instructions and remove the goo and film from the RV. A+ recommended.,0.39,10
2020-01-02,B072DXRJ8M,Fresh Pressed Daily Booster With Pure Vitamin C 10% by C.L.I.N.I.Q.U.E,Health & Personal Care,AHRSWURIX27TX4Z2UD3AZUIZ2PZQ,16.87,Clinique Vitamin C Daily Booster. I am very happy with the product and the seller services.  I have used this Vita-C serum mixed with my Clinique moisturizer for several years.  It is GREAT to see it available on Amazon with quick shipping. Thank you.,0.0,6
2020-01-02,B0757HF76C,Skout’s Honor: Professional Strength Laundry Booster - Stain and Odor Removal Additive - 3x Concentrated Solution For Laundry Use - 32 oz.,Health & Personal Care,AHGFBGXU4AF3U5PG3JGF7RWWK7JA,16.99,"Have never found a better laundry additive for pet odor. With 8 pets, we have a lot of pet odor. Skout's Honor has greatly reduced the number of times we have to wash some clothes. It doesn't have much of a scent, so it's not just masking odor. It really helps with getting rid of the smell altogether.",0.0,8
2020-01-02,B075ZPHGSG,"MLS Kids & Youth ""Framed"" Short Sleeve Triblend Tee",AMAZON FASHION | T-Shirts,AFS5CFJLTF5R3O3PY37PILID3H2A,20.0,Love this shirt!!! Go Sounders. Love this shirt!!! Go Sounders,0.7,10
2020-01-02,B078KFMBTB,Innobaby Bathin' Smart Silicone Sensory Fish Bath Scrub for Babies and Toddlers - Aqua Green,Health & Personal Care,AG3QLF7DCQRQDRA5QNLOZLH3RQKA,12.99,It’s ok. I wanted to love this but ended up never using it 🤷🏻‍♀️,0.0,4
